epidemic_days,date,product,LightGBM
0,2024-01-03,P0007,597.3488003865839
0,2024-01-04,P0007,594.4690203561822
0,2024-01-05,P0007,547.5645540886728
0,2024-01-06,P0007,526.032590414323
0,2024-01-07,P0007,470.1508884904258
0,2024-01-08,P0007,513.7836245884087
0,2024-01-09,P0007,451.484394390714
0,2024-01-10,P0007,590.9648563428636
0,2024-01-11,P0007,484.1569419290064
0,2024-01-12,P0007,497.23869998667465
0,2024-01-13,P0007,659.5386924348879
0,2024-01-14,P0007,483.06096397061225
0,2024-01-15,P0007,523.1297865855047
0,2024-01-16,P0007,576.0659338669719
0,2024-01-17,P0007,603.0931634927509
0,2024-01-18,P0007,516.313572952967
0,2024-01-19,P0007,462.94804056927416
0,2024-01-20,P0007,701.4839935297248
0,2024-01-21,P0007,477.9167064707922
0,2024-01-22,P0007,525.9083252701664
0,2024-01-23,P0007,469.58761318571015
0,2024-01-24,P0007,480.66293539147114
0,2024-01-25,P0007,675.1150050827358
0,2024-01-26,P0007,500.68175982750387
0,2024-01-27,P0007,587.1623351510807
0,2024-01-28,P0007,510.2648566913915
0,2024-01-29,P0007,496.0033847499557
0,2024-01-30,P0007,463.313059628998
0,2024-01-03,P0013,474.2237147820569
0,2024-01-04,P0013,472.4206909528431
0,2024-01-05,P0013,668.1210643962723
0,2024-01-06,P0013,506.2347605308032
0,2024-01-07,P0013,594.0829856667459
0,2024-01-08,P0013,499.7898589095896
0,2024-01-09,P0013,564.5535364405681
0,2024-01-10,P0013,580.8698091540019
0,2024-01-11,P0013,477.2652636114055
0,2024-01-12,P0013,492.98739493357107
0,2024-01-13,P0013,507.37958946364296
0,2024-01-14,P0013,480.6913640197273
0,2024-01-15,P0013,505.5932309004809
0,2024-01-16,P0013,564.3425916458634
0,2024-01-17,P0013,589.3193301812058
0,2024-01-18,P0013,506.09284876048196
0,2024-01-19,P0013,458.76627421058055
0,2024-01-20,P0013,545.8912072081177
0,2024-01-21,P0013,459.96933895139335
0,2024-01-22,P0013,511.16804638925254
0,2024-01-23,P0013,584.4039401901522
0,2024-01-24,P0013,478.9017887904806
0,2024-01-25,P0013,661.5896682116086
0,2024-01-26,P0013,495.87738148845705
0,2024-01-27,P0013,588.1510504329854
0,2024-01-28,P0013,508.3648153988895
0,2024-01-29,P0013,481.9693085464964
0,2024-01-30,P0013,461.8778523043749
0,2024-01-03,P0004,470.9324863243699
0,2024-01-04,P0004,480.1092964655301
0,2024-01-05,P0004,530.6315558343194
0,2024-01-06,P0004,516.8905411840924
0,2024-01-07,P0004,484.33426526296597
0,2024-01-08,P0004,649.7084799279414
0,2024-01-09,P0004,453.48413423782864
0,2024-01-10,P0004,468.06266010424287
0,2024-01-11,P0004,611.6623928678888
0,2024-01-12,P0004,628.9177728701834
0,2024-01-13,P0004,512.7684480754326
0,2024-01-14,P0004,607.150634970199
0,2024-01-15,P0004,506.4348127338186
0,2024-01-16,P0004,567.1133808442611
0,2024-01-17,P0004,471.5037651306901
0,2024-01-18,P0004,639.6490850148576
0,2024-01-19,P0004,456.8971674048951
0,2024-01-20,P0004,690.3634733417767
0,2024-01-21,P0004,587.9159179740125
0,2024-01-22,P0004,520.9821980532502
0,2024-01-23,P0004,469.2337115662607
0,2024-01-24,P0004,479.94608835117003
0,2024-01-25,P0004,530.7925937879949
0,2024-01-26,P0004,638.3207823007721
0,2024-01-27,P0004,468.20845879530714
0,2024-01-28,P0004,640.0911466389247
0,2024-01-29,P0004,478.28460192574937
0,2024-01-30,P0004,452.1026357085884
1,2024-01-03,P0007,355.1750304144795
1,2024-01-04,P0007,594.4690203561822
1,2024-01-05,P0007,547.5645540886728
1,2024-01-06,P0007,526.032590414323
1,2024-01-07,P0007,470.1508884904258
1,2024-01-08,P0007,513.7836245884087
1,2024-01-09,P0007,451.484394390714
1,2024-01-10,P0007,590.9648563428636
1,2024-01-11,P0007,484.1569419290064
1,2024-01-12,P0007,497.23869998667465
1,2024-01-13,P0007,659.5386924348879
1,2024-01-14,P0007,483.06096397061225
1,2024-01-15,P0007,523.1297865855047
1,2024-01-16,P0007,576.0659338669719
1,2024-01-17,P0007,603.0931634927509
1,2024-01-18,P0007,516.313572952967
1,2024-01-19,P0007,462.94804056927416
1,2024-01-20,P0007,701.4839935297248
1,2024-01-21,P0007,477.9167064707922
1,2024-01-22,P0007,525.9083252701664
1,2024-01-23,P0007,469.58761318571015
