date,ARIMAX,LightGBM,Ridge,Ensemble zwykła średnia,Ensemble ważona średnia
2024-01-03,6032.699232590549,5995.646270568879,5947.844755225618,5992.063419461682,5973.838526101177
2024-01-04,5915.815884518365,6024.724006277903,5826.180766264739,5922.240219020336,5868.443869829462
2024-01-05,7376.786589044856,6935.2810708078605,7273.996754270527,7195.354804707748,7265.822644617842
2024-01-06,6239.857299662244,6043.9482374031,6179.167601480351,6154.324379515233,6180.818089618099
2024-01-07,5915.815884518365,6012.910880937574,5827.090006454793,5918.605590636911,5867.853563418965
2024-01-08,6546.078649210163,6320.5771521613815,6460.987779334497,6442.547860235347,6468.219434086102
2024-01-09,9030.548064514936,8988.168654000427,8938.868210007788,8985.861642841051,8966.718218033839
2024-01-10,8997.526970356193,8985.550452636071,8922.341046185113,8968.472823059126,8947.458467872979
2024-01-11,9543.92748113455,9504.455275650607,9451.282915407293,9499.888557397482,9479.761292863439
2024-01-12,9416.23738623794,9472.839356931234,9355.221993690642,9414.76624561994,9382.237578151526
2024-01-13,10079.52124508848,10154.045200815248,10006.205265257517,10079.923903720415,10039.31825377103
2024-01-14,8858.729701792425,8845.257177690444,8806.582808689102,8836.85656272399,8823.486968865067
2024-01-15,9383.216292079198,9441.196455630146,9339.968976036995,9388.12724124878,9360.903553006861
2024-01-16,9347.876587730014,9356.013928314549,9244.804500640648,9316.231672228403,9281.69346518038
2024-01-17,9281.83439941253,9316.014045332557,9211.69382770302,9269.84742414937,9239.660992393352
2024-01-18,9856.86172261127,9876.795846088538,9786.772043946443,9840.143204215417,9813.29684382686
2024-01-19,8880.64362228401,8811.897764716714,8805.915746539062,8832.819044513262,8825.195917293064
2024-01-20,10687.569662445962,10927.129979471745,10602.469910554348,10739.056517490686,10656.21085541899
2024-01-21,9314.855493571271,9381.249199208765,9232.093397823715,9309.399363534583,9267.69950189911
2024-01-22,10068.41407142132,10084.779676833938,9992.081006868451,10048.42491837457,10020.434140003217
2024-01-23,8891.750795951168,8879.929144308184,8831.094516361418,8867.591485540257,8851.142049053533
2024-01-24,9872.363178016787,9857.000931034218,9785.08792622913,9838.150678426711,9814.098039656552
2024-01-25,10202.817058246732,10231.260383316443,10142.140722119857,10192.072721227678,10166.221772271234
2024-01-26,9689.437641627117,9670.469514933777,9631.828490765847,9663.911882442248,9650.09488089796
2024-01-27,9693.831923365475,9612.164261415037,9604.318916888224,9636.771700556244,9627.481702960218
2024-01-28,9806.320989699303,9838.40453598746,9756.56272182874,9800.429415838502,9777.186470212253
2024-01-29,8708.8252595615,8686.267239708299,8683.253500053901,8692.781999774566,8689.94781389624
2024-01-30,8351.762750258878,8264.89471578059,8315.480885307472,8310.712783782314,8319.492734592635
