date,ARIMAX,SARIMAX
2024-01-03,6032.699232590549,6032.363576106695
2024-01-04,5915.815884518365,5922.039212405357
2024-01-05,7376.786589044856,7362.899446735319
2024-01-06,6239.857299662244,6242.230663576779
2024-01-07,5915.815884518365,5918.6637702672115
2024-01-08,6546.078649210163,6563.141962726523
2024-01-09,9030.548064514936,9044.822451776658
2024-01-10,8997.526970356193,9006.353491749593
2024-01-11,9543.92748113455,9554.654182321743
2024-01-12,9416.23738623794,9423.609314004787
2024-01-13,10079.52124508848,10086.04197367562
2024-01-14,8858.729701792425,8865.90713981814
2024-01-15,9383.216292079198,9388.03547583575
2024-01-16,9347.876587730014,9358.233906878342
2024-01-17,9281.83439941253,9289.224760186798
2024-01-18,9856.86172261127,9865.617224152733
2024-01-19,8880.64362228401,8891.607912826363
2024-01-20,10687.569662445962,10697.039942714677
2024-01-21,9314.855493571271,9323.79232458969
2024-01-22,10068.41407142132,10077.331074856384
2024-01-23,8891.750795951168,8900.396788324539
2024-01-24,9872.363178016787,9880.998622918281
2024-01-25,10202.817058246732,10211.118882160159
2024-01-26,9689.437641627117,9697.248902120224
2024-01-27,9693.831923365475,9703.864018512082
2024-01-28,9806.320989699303,9811.865320416719
2024-01-29,8708.8252595615,8716.642100224859
2024-01-30,8351.762750258878,8362.373502677096
